obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"416.057"	"0.002"	"416.06124"	"0.00003"	""	"1.15e+05"	"7.48e-05"	"-3.52"	B	"2.104429202"	"[5.08353997]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17s"	"2S"	"1/2"		"T7799"	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"8.36e+04"	"5.45e-05"	"-3.66"	B	"2.104429202"	"[5.07848836]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"3/2"		"T7799"	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"7.50e+05"	"4.89e-04"	"-2.71"	B	"2.104429202"	"[5.07848836]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"5/2"		"T7799"	"L9493"	
"417.156"	"0.002"	"417.15909"	"0.00003"	""	"1.41e+05"	"9.18e-05"	"-3.44"	B	"2.104429202"	"[5.07569996]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16s"	"2S"	"1/2"		"T7799"	"L9493"	
"417.67"	"0.02"	"417.667"	"0.014"	"82"	"2.8e+08"	"1.2e-01"	"-0.14"	D	"33.2915"	"36.2591"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"418.022"	"0.002"	"418.02943"	"0.00003"	""	"1.03e+05"	"6.76e-05"	"-3.57"	B	"2.104429202"	"[5.06951389]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"3/2"		"T7799"	"L9493"	
"418.022"	"0.002"	"418.02944"	"0.00003"	""	"9.30e+05"	"6.09e-04"	"-2.61"	B	"2.104429202"	"[5.06951376]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"5/2"		"T7799"	"L9493"	
"418.509"	"0.002"	"418.51487"	"0.00004"	""	"1.74e+05"	"1.14e-04"	"-3.34"	B	"2.104429202"	"[5.06607469]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15s"	"2S"	"1/2"		"T7799"	"L9493"	
"418.55"	"0.02"	"418.546"	"0.011"	"150"	"2.9e+08"	"1.3e-01"	"-0.11"	D	"33.2915"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"419.598"	"0.002"	"419.60405"	"0.00004"	""	"1.31e+05"	"8.64e-05"	"-3.46"	B	"2.104429202"	"[5.05838717]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"3/2"		"T7799"	"L9493"	
"419.598"	"0.002"	"419.60409"	"0.00004"	""	"1.18e+06"	"7.76e-04"	"-2.51"	B	"2.104429202"	"[5.05838693]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"5/2"		"T7799"	"L9493"	
"420.216"	"0.002"	"420.21714"	"0.00004"	""	"2.18e+05"	"1.44e-04"	"-3.24"	B	"2.104429202"	"[5.05407748]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14s"	"2S"	"1/2"		"T7799"	"L9493"	
"420.49"	"0.02"	"420.486"	"0.012"	"46"	"1.0e+08"	"4.4e-02"	"-0.58"	D	"33.2915"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"1.68e+05"	"1.12e-04"	"-3.35"	B	"2.104429202"	"[5.04436022]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"3/2"		"T7799"	"L9493"	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"1.51e+06"	"1.01e-03"	"-2.39"	B	"2.104429202"	"[5.04436022]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"5/2"		"T7799"	"L9493"	
