obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""1079.218""","=""0.016""","=""""","=""2.7e+03""","=""2.4e-05""","=""-4.32""",D,"=""3.373129""","=""4.521648""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T6620,T5118,LS""","=""""",
"=""""","=""1097.664""","=""0.017""","=""""","=""4.76e+04""","=""2.15e-04""","=""-3.065""",A,"=""3.878608""","=""5.007826""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1097.664""","=""0.017""","=""""","=""2.38e+05""","=""1.07e-03""","=""-2.368""",A,"=""3.878608""","=""5.007826""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1097.669""","=""0.017""","=""""","=""4.28e+05""","=""1.29e-03""","=""-2.111""",A,"=""3.878613""","=""5.007826""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1103.175""","=""0.017""","=""""","=""9.72e+05""","=""8.88e-03""","=""-1.751""",A,"=""3.834258""","=""4.957835""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1103.175""","=""0.017""","=""""","=""1.95e+06""","=""8.88e-03""","=""-1.45""",A,"=""3.834258""","=""4.957835""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""1223.2""","=""1223.721""","=""0.021""","=""*""","=""2.09e+07""","=""1.17e-01""","=""-0.329""",A,"=""3.834258""","=""4.847155""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T5118LS""","=""L7397""",
"=""1223.2""","=""1223.723""","=""0.021""","=""*""","=""2.32e+06""","=""1.30e-02""","=""-1.283""",A,"=""3.834258""","=""4.847154""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
"=""1223.2""","=""1223.723""","=""0.021""","=""*""","=""1.16e+07""","=""1.30e-01""","=""-0.58""",A,"=""3.834258""","=""4.847154""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
"=""1278.2""","=""1278.19""","=""0.16""","=""*""","=""2.564e+07""","=""1.571e-01""","=""-0.2018""",AA,"=""3.878608""","=""4.84834""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T7409LS""","=""L7397""",
"=""1278.2""","=""1278.20""","=""0.16""","=""*""","=""3.662e+07""","=""1.496e-01""","=""-0.0469""",AA,"=""3.878613""","=""4.84834""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""7/2""",,"=""T7409LS""","=""L7397""",
"=""1278.2""","=""1278.20""","=""0.16""","=""*""","=""1.831e+06""","=""7.480e-03""","=""-1.3480""",AA,"=""3.878613""","=""4.84834""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T7409LS""","=""L7397""",
