obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""455.395""","=""0.003""","=""455.3947""","=""0.0006""","=""18""","=""6.0e+07""","=""3.7e-02""","=""-0.73""",D,"=""4.0964341""","=""6.818237""","=""3d5.(2F1).4s""","=""b 3F""","=""2""","=""3d5.(2D1).4p""","=""v 3F*""","=""2""",,"=""T3963""","=""L808""",
"=""455.48204""","=""0.00006""","=""455.481999""","=""0.000023""","=""33""","=""1.8e+07""","=""8.0e-03""","=""-1.25""",D,"=""3.11278390""","=""5.83406495""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",,"=""T4288""","=""L14866""",
"=""455.52886""","=""0.00007""","=""455.52878""","=""0.00003""","=""16""","=""2.0e+07""","=""7.0e-03""","=""-1.20""",D,"=""3.43483025""","=""6.15583182""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""T4288""","=""L14866""",
"=""455.61676""","=""0.00005""","=""455.616745""","=""0.000025""","=""99""","=""5.4e+07""","=""2.4e-02""","=""-0.78""",D,"=""3.11278390""","=""5.83326016""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",,"=""T3963""","=""L14866""",
"=""456.32440""","=""0.00007""","=""456.32442""","=""0.00004""","=""20""","=""9.0e+07""","=""2.6e-02""","=""-0.55""",D,"=""3.85036371""","=""6.56662110""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(1G1).4s.4p.(3P*)""","=""x 3H*""","=""4""",,"=""T4288""","=""L14866""",
"=""456.34094""","=""0.00015""","=""456.34088""","=""0.00004""","=""7""","=""3.8e+06""","=""2.4e-03""","=""-1.92""",D,"=""2.98716595""","=""5.70332536""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",,"=""T3963""","=""L14866""",
"=""456.36484""","=""0.00006""","=""456.36482""","=""0.00006""","=""30""","=""1.6e+07""","=""1.0e-02""","=""-1.30""",D,"=""3.0922396""","=""5.80825650""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""T3963""","=""L14866""",
"=""456.41551""","=""0.00006""","=""456.41555""","=""0.00006""","=""41""","=""6.6e+08""","=""1.9e-01""","=""0.32""",D,"=""4.7780523""","=""7.4937674""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(2H).4p""","=""x 1I*""","=""6""",,"=""T4288""","=""L14866""",
"=""456.55041""","=""0.00005""","=""456.550391""","=""0.000013""","=""250""","=""2.9e+06""","=""1.8e-03""","=""-2.05""",B,"=""0.98287742""","=""3.69779039""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
"=""456.96146""","=""0.00005""","=""456.96143""","=""0.00003""","=""130""","=""7.4e+07""","=""2.6e-02""","=""-0.64""",D,"=""3.12159404""","=""5.83406495""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",,"=""T3963""","=""L14866""",
"=""457.09719""","=""0.00015""","=""457.09706""","=""0.00005""","=""8""","=""3.0e+06""","=""1.0e-03""","=""-2.03""",E,"=""3.12159404""","=""5.83326016""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",,"=""T3963""","=""L14866""",
"=""457.10908""","=""0.00008""","=""457.109103""","=""0.000019""","=""16""","=""6.6e+06""","=""3.0e-03""","=""-1.68""",D,"=""3.01329987""","=""5.72489453""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""3""",,"=""T3963""","=""L14866""",
"=""457.16715""","=""0.00005""","=""457.16716""","=""0.00005""","=""480""","=""5.4e+07""","=""1.3e-02""","=""-0.77""",D,"=""2.54410014""","=""5.2553505""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""7""",,"=""T3963""","=""L14866""",
