obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""496.5031""","=""496.503213""","=""0.000017""","=""10""","=""2.02e+06""","=""1.86e-03""","=""-2.128""",A,"=""1.6171130092""","=""4.11356434""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.8d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""508.4226""","=""508.423399""","=""0.000018""","=""10""","=""8.148e+05""","=""1.580e-03""","=""-2.500""",AA,"=""1.60995784350""","=""4.04787964""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.9s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""509.7171""","=""509.717137""","=""0.000018""","=""11""","=""1.36e+06""","=""2.65e-03""","=""-2.276""",B+,"=""1.60995784350""","=""4.04169191""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.7d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""509.9200""","=""509.920005""","=""0.000018""","=""11""","=""1.613e+06""","=""1.573e-03""","=""-2.201""",A+,"=""1.6171130092""","=""4.04787964""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.9s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""""","=""511.221380""","=""0.000018""","=""""","=""2.80e+05""","=""2.75e-04""","=""-2.959""",A,"=""1.6171130092""","=""4.04169191""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.7d""","=""2D""","=""3/2""",,"=""T9168""","=""""",
"=""511.2249""","=""511.225448""","=""0.000018""","=""12""","=""2.53e+06""","=""2.48e-03""","=""-2.003""",B+,"=""1.6171130092""","=""4.04167262""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.7d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""532.3276""","=""532.32786""","=""0.00009""","=""12""","=""1.32e+06""","=""2.812e-03""","=""-2.250""",A+,"=""1.60995784350""","=""3.9384048""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.8s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""533.9688""","=""533.96873""","=""0.00009""","=""13""","=""2.622e+06""","=""2.803e-03""","=""-1.950""",AA,"=""1.6171130092""","=""3.9384048""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.8s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""534.2970""","=""534.29693""","=""0.00009""","=""12""","=""1.54e+06""","=""3.30e-03""","=""-2.180""",A,"=""1.60995784350""","=""3.9298237""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.6d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""535.94998""","=""0.00009""","=""""","=""3.24e+05""","=""3.49e-04""","=""-2.855""",A,"=""1.6171130092""","=""3.9298237""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6d""","=""2D""","=""3/2""",,"=""T9168""","=""""",
"=""535.9574""","=""535.95761""","=""0.00009""","=""14""","=""2.92e+06""","=""3.14e-03""","=""-1.901""",A,"=""1.6171130092""","=""3.9297908""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""578.2384""","=""578.23999""","=""0.00010""","=""16""","=""2.372e+06""","=""5.949e-03""","=""-1.924""",AA,"=""1.60995784350""","=""3.7535285""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.7s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""580.1752""","=""580.17662""","=""0.00010""","=""17""","=""4.696e+06""","=""5.927e-03""","=""-1.625""",AA,"=""1.6171130092""","=""3.7535285""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.7s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""581.2148""","=""581.21521""","=""0.00010""","=""15""","=""1.14e+06""","=""2.90e-03""","=""-2.237""",A,"=""1.60995784350""","=""3.7425557""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.5d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""583.17185""","=""0.00010""","=""""","=""2.45e+05""","=""3.13e-04""","=""-2.903""",A,"=""1.6171130092""","=""3.7425557""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""3/2""",,"=""T9168""","=""""",
"=""583.1887""","=""583.18899""","=""0.00010""","=""17""","=""2.23e+06""","=""2.84e-03""","=""-1.945""",A,"=""1.6171130092""","=""3.7424933""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""691.1084""","=""691.10815""","=""0.00014""","=""19""","=""5.000e+06""","=""1.791e-02""","=""-1.446""",AA,"=""1.60995784350""","=""3.4034543""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.6s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""693.6284""","=""693.62861""","=""0.00024""","=""12""","=""7.6e+04""","=""2.7e-04""","=""-3.26""",C,"=""1.60995784350""","=""3.3969373""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""693.8767""","=""693.87640""","=""0.00014""","=""20""","=""9.912e+06""","=""1.790e-02""","=""-1.145""",AA,"=""1.6171130092""","=""3.4034543""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""696.418""","=""696.41712""","=""0.00024""","=""7""","=""9.6e+03""","=""1.7e-05""","=""-4.16""",D+,"=""1.6171130092""","=""3.3969373""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""696.4672""","=""696.46903""","=""0.00024""","=""12""","=""8.22e+04""","=""1.49e-04""","=""-3.22""",D+,"=""1.6171130092""","=""3.3968046""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""""","=""754.1412""","=""0.0003""","=""""","=""2.0e+04""","=""8.4e-05""","=""-3.78""",E,"=""2.6069601""","=""4.2505525""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.14p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""754.1617""","=""0.0003""","=""""","=""9.8e+03""","=""4.2e-05""","=""-4.08""",E,"=""2.6069601""","=""4.2505078""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.14p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""""","=""761.8730""","=""0.0003""","=""""","=""2.6e+04""","=""1.1e-04""","=""-3.65""",C,"=""2.6069601""","=""4.2338727""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""761.8996""","=""0.0003""","=""""","=""1.3e+04""","=""5.7e-05""","=""-3.95""",E,"=""2.6069601""","=""4.2338159""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
