Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5p6.5f""","=""2F*""","=""7/2""","=""""","=""3.3439968""","=""""","=""0.0000004""","=""0.0074999""","=""L793,L6284"""
"=""5p6.5f""","=""2F*""","=""5/2""","=""""","=""3.3440154""","=""""","=""0.0000004""","=""0.0000186""","=""L793"""
"=""5p6.5g""","=""2G""","=""7/2""","=""""","=""3.34857194""","=""""","=""0.00000025""","=""0.0045565""","=""L7057"""
"=""5p6.5g""","=""2G""","=""9/2""","=""""","=""3.34857229""","=""""","=""0.00000025""","=""0.0000004""","=""L7057,L5289"""
"=""5p6.9p""","=""2P*""","=""1/2""","=""""","=""3.42655087""","=""""","=""0.00000006""","=""0.0779786""","=""L7057"""
"=""5p6.9p""","=""2P*""","=""3/2""","=""""","=""3.43209068""","=""""","=""0.00000014""","=""0.0055398""","=""L7057,L6284"""
"=""5p6.8d""","=""2D""","=""3/2""","=""""","=""3.44815430""","=""""","=""0.00000006""","=""0.0160636""","=""L6147"""
"=""5p6.8d""","=""2D""","=""5/2""","=""""","=""3.44959750""","=""""","=""0.00000006""","=""0.00144320""","=""L7057"""
"=""5p6.10s""","=""2S""","=""1/2""","=""""","=""3.50878117""","=""""","=""0.00000006""","=""0.05918367""","=""L7057"""
"=""5p6.6f""","=""2F*""","=""7/2""","=""""","=""3.51239888""","=""""","=""0.00000006""","=""0.00361771""","=""L7057,L6284"""
"=""5p6.6f""","=""2F*""","=""5/2""","=""""","=""3.51241200""","=""""","=""0.00000006""","=""0.00001312""","=""L7057"""
"=""5p6.6g""","=""2G""","=""7/2""","=""""","=""3.51525509""","=""""","=""0.00000006""","=""0.00284309""","=""L7057"""
"=""5p6.6g""","=""2G""","=""9/2""","=""""","=""3.51525529""","=""""","=""0.00000007""","=""0.00000020""","=""L7057,L5289"""
"=""5p6.10p""","=""2P*""","=""1/2""","=""""","=""3.56167080""","=""""","=""0.00000006""","=""0.04641551""","=""L7057"""
"=""5p6.10p""","=""2P*""","=""3/2""","=""""","=""3.56500158""","=""""","=""0.00000014""","=""0.0033308""","=""L7057,L6284"""
"=""5p6.9d""","=""2D""","=""3/2""","=""""","=""3.57430103""","=""""","=""0.00000006""","=""0.0092994""","=""L6147"""
"=""5p6.9d""","=""2D""","=""5/2""","=""""","=""3.575182547""","=""""","=""0.000000025""","=""0.00088152""","=""L7057"""
"=""5p6.11s""","=""2S""","=""1/2""","=""""","=""3.611874198""","=""""","=""0.000000025""","=""0.03669165""","=""L7057"""
"=""5p6.7f""","=""2F*""","=""7/2""","=""""","=""3.61388003""","=""""","=""0.00000004""","=""0.00200583""","=""L7057,L6284"""
"=""5p6.7f""","=""2F*""","=""5/2""","=""""","=""3.613889169""","=""""","=""0.000000019""","=""0.00000914""","=""L7057"""
"=""5p6.7g""","=""2G""","=""7/2""","=""""","=""3.615760113""","=""""","=""0.000000019""","=""0.00187094""","=""L7057"""
"=""5p6.7g""","=""2G""","=""9/2""","=""""","=""3.61576024""","=""""","=""0.00000006""","=""0.00000013""","=""L7057,L5289"""
"=""5p6.11p""","=""2P*""","=""1/2""","=""""","=""3.645559844""","=""""","=""0.000000019""","=""0.02979960""","=""L7057"""
"=""5p6.11p""","=""2P*""","=""3/2""","=""""","=""3.6477173""","=""""","=""0.0000004""","=""0.0021575""","=""L7057,L6284"""
"=""5p6.10d""","=""2D""","=""3/2""","=""""","=""3.65360204""","=""""","=""0.00000006""","=""0.0058847""","=""L6147"""
"=""5p6.10d""","=""2D""","=""5/2""","=""""","=""3.654178835""","=""""","=""0.000000025""","=""0.00057680""","=""L7057"""
"=""5p6.12s""","=""2S""","=""1/2""","=""""","=""3.678462803""","=""""","=""0.000000025""","=""0.02428397""","=""L7057"""
"=""5p6.8f""","=""2F*""","=""7/2""","=""""","=""3.67968855""","=""""","=""0.00000007""","=""0.00122575""","=""L7057,L6284"""
"=""5p6.8f""","=""2F*""","=""5/2""","=""""","=""3.679695137""","=""""","=""0.000000019""","=""0.00000659""","=""L7057"""
"=""5p6.8g""","=""2G""","=""7/2""","=""""","=""3.680983971""","=""""","=""0.000000019""","=""0.00128883""","=""L7057"""
"=""5p6.8g""","=""2G""","=""9/2""","=""""","=""3.68098408""","=""""","=""0.00000009""","=""0.00000011""","=""L7057,L5289"""
"=""5p6.12p""","=""2P*""","=""1/2""","=""""","=""3.701229795""","=""""","=""0.000000019""","=""0.02024572""","=""L7057"""
"=""5p6.12p""","=""2P*""","=""3/2""","=""""","=""3.7027069""","=""""","=""0.0000004""","=""0.0014771""","=""L7057,L6284"""
"=""5p6.11d""","=""2D""","=""3/2""","=""""","=""3.70667374""","=""""","=""0.00000006""","=""0.0039668""","=""L6147"""
"=""5p6.11d""","=""2D""","=""5/2""","=""""","=""3.707071301""","=""""","=""0.000000025""","=""0.00039756""","=""L7057"""
"=""5p6.13s""","=""2S""","=""1/2""","=""""","=""3.723963144""","=""""","=""0.000000025""","=""0.01689184""","=""L7057"""
"=""5p6.9f""","=""2F*""","=""7/2""","=""""","=""3.72476740""","=""""","=""0.00000009""","=""0.00080426""","=""L7057,L6284"""
"=""5p6.9f""","=""2F*""","=""5/2""","=""""","=""3.724772227""","=""""","=""0.000000019""","=""0.00000483""","=""L7057"""
"=""5p6.9g""","=""2G""","=""7/2""","=""""","=""3.725694560""","=""""","=""0.000000019""","=""0.00092233""","=""L7057"""
"=""5p6.9g""","=""2G""","=""9/2""","=""""","=""3.72569472""","=""""","=""0.00000015""","=""0.00000016""","=""L7057,L5289"""
"=""5p6.13p""","=""2P*""","=""1/2""","=""""","=""3.740066199""","=""""","=""0.000000019""","=""0.01437148""","=""L7057"""
