Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""11d""","=""2D""","=""5/2""","=""""","=""3.8368947""","=""""","=""0.0000007""","=""0.0012792""","=""L10669"""
"=""13s""","=""2S""","=""1/2""","=""""","=""3.8560994""","=""""","=""0.0000007""","=""0.0192047""","=""L10669"""
"=""13p""","=""2P*""","=""1/2""","=""""","=""3.879679""","=""""","=""0.000006""","=""0.023580""","=""L11797"""
"=""13p""","=""2P*""","=""3/2""","=""""","=""3.884110""","=""""","=""0.000006""","=""0.004431""","=""L11797"""
"=""12d""","=""2D""","=""3/2""","=""""","=""3.8877113""","=""""","=""0.0000007""","=""0.003601""","=""L10669"""
"=""12d""","=""2D""","=""5/2""","=""""","=""3.8885976""","=""""","=""0.0000007""","=""0.0008863""","=""L10669"""
"=""14s""","=""2S""","=""1/2""","=""""","=""3.9019644""","=""""","=""0.0000007""","=""0.0133668""","=""L10669"""
"=""14p""","=""2P*""","=""1/2""","=""""","=""3.918638""","=""""","=""0.000006""","=""0.016674""","=""L11797"""
"=""14p""","=""2P*""","=""3/2""","=""""","=""3.921805""","=""""","=""0.000006""","=""0.003167""","=""L11797"""
"=""13d""","=""2D""","=""3/2""","=""""","=""3.9243478""","=""""","=""0.0000007""","=""0.002543""","=""L10669"""
"=""13d""","=""2D""","=""5/2""","=""""","=""3.9249870""","=""""","=""0.0000007""","=""0.0006392""","=""L10669"""
"=""15s""","=""2S""","=""1/2""","=""""","=""3.9346611""","=""""","=""0.0000007""","=""0.0096741""","=""L10669"""
"=""15p""","=""2P*""","=""1/2""","=""""","=""3.946883""","=""""","=""0.000006""","=""0.012222""","=""L11797"""
"=""15p""","=""2P*""","=""3/2""","=""""","=""3.949225""","=""""","=""0.000006""","=""0.002342""","=""L11797"""
"=""14d""","=""2D""","=""3/2""","=""""","=""3.9510890""","=""""","=""0.0000007""","=""0.001864""","=""L10669"""
"=""14d""","=""2D""","=""5/2""","=""""","=""3.9515641""","=""""","=""0.0000007""","=""0.0004751""","=""L10669"""
"=""16s""","=""2S""","=""1/2""","=""""","=""3.9587893""","=""""","=""0.0000007""","=""0.0072252""","=""L10669"""
"=""16p""","=""2P*""","=""1/2""","=""""","=""3.968015""","=""""","=""0.000006""","=""0.009226""","=""L11797"""
"=""16p""","=""2P*""","=""3/2""","=""""","=""3.969794""","=""""","=""0.000006""","=""0.001779""","=""L11797"""
"=""15d""","=""2D""","=""3/2""","=""""","=""3.9712026""","=""""","=""0.0000007""","=""0.001409""","=""L10669"""
"=""15d""","=""2D""","=""5/2""","=""""","=""3.9715636""","=""""","=""0.0000007""","=""0.0003610""","=""L10669"""
