 	 	 	 	 	 	 
3p642d 	 2D 	 5/2 	  4.33284759                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33284764]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p644s 	 2S 	 1/2 	  4.33288347                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p643d 	 2D 	 5/2 	  [4.33320913]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33320920]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p645s 	 2S 	 1/2 	  [4.33324259]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p644d 	 2D 	 5/2 	  [4.33354618]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33354625]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p646s 	 2S 	 1/2 	  4.33357740                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p645d 	 2D 	 5/2 	  [4.33386087]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33386094]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p646d 	 2D 	 5/2 	  4.33415514                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33415521]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
K II (3p6 1S0) 	 Limit 	 --- 	  4.34066373                    	  0.00000009     	  	 L5451,L5783,L7185
