Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.13g""","=""2G""","=""7/2,9/2""","=""[""","=""5.05856658""","=""]""","=""0.00000025""","=""0.0000145""","=""                                                                                              ""","="""""
"=""2p6.14p""","=""2P*""","=""1/2""","=""[""","=""5.06032492""","=""]""","=""0.00000025""","=""0.0017583""","=""                                                                                              ""","="""""
"=""2p6.14p""","=""2P*""","=""3/2""","=""[""","=""5.06033472""","=""]""","=""0.00000025""","=""0.0000098""","=""                                                                                              ""","="""""
"=""2p6.15s""","=""2S""","=""1/2""","=""[""","=""5.06607469""","=""]""","=""0.00000025""","=""0.0057400""","=""                                                                                              ""","="""""
"=""2p6.14d""","=""2D""","=""5/2""","=""[""","=""5.06951376""","=""]""","=""0.00000025""","=""0.0034391""","=""                                                                                              ""","="""""
"=""2p6.14d""","=""2D""","=""3/2""","=""[""","=""5.06951389""","=""]""","=""0.00000025""","=""0.0000001""","=""                                                                                              ""","="""""
"=""2p6.14f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.06964593""","=""]""","=""0.00000025""","=""0.0001320""","=""                                                                                              ""","="""""
"=""2p6.14g""","=""2G""","=""7/2,9/2""","=""[""","=""5.06965759""","=""]""","=""0.00000025""","=""0.0000117""","=""                                                                                              ""","="""""
"=""2p6.15p""","=""2P*""","=""1/2""","=""[""","=""5.07106803""","=""]""","=""0.00000025""","=""0.0014104""","=""                                                                                              ""","="""""
"=""2p6.15p""","=""2P*""","=""3/2""","=""[""","=""5.07107584""","=""]""","=""0.00000025""","=""0.0000078""","=""                                                                                              ""","="""""
"=""2p6.16s""","=""2S""","=""1/2""","=""[""","=""5.07569996""","=""]""","=""0.00000025""","=""0.0046241""","=""                                                                                              ""","="""""
"=""2p6.15d""","=""2D""","=""3/2""","=""[""","=""5.07848836""","=""]""","=""0.00000025""","=""0.0027884""","=""                                                                                              ""","="""""
"=""2p6.15d""","=""2D""","=""5/2""","=""[""","=""5.07848836""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.15f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.07859573""","=""]""","=""0.00000025""","=""0.0001074""","=""                                                                                              ""","="""""
"=""2p6.15g""","=""2G""","=""7/2,9/2""","=""[""","=""5.07860528""","=""]""","=""0.00000025""","=""0.0000095""","=""                                                                                              ""","="""""
"=""2p6.16p""","=""2P*""","=""1/2""","=""[""","=""5.07975362""","=""]""","=""0.00000025""","=""0.0011483""","=""                                                                                              ""","="""""
"=""2p6.16p""","=""2P*""","=""3/2""","=""[""","=""5.07976007""","=""]""","=""0.00000025""","=""0.0000064""","=""                                                                                              ""","="""""
"=""2p6.17s""","=""2S""","=""1/2""","=""[""","=""5.08353997""","=""]""","=""0.00000025""","=""0.0037799""","=""                                                                                              ""","="""""
"=""2p6.16d""","=""2D""","=""5/2""","=""[""","=""5.08583182""","=""]""","=""0.00000025""","=""0.0022918""","=""                                                                                              ""","="""""
"=""2p6.16d""","=""2D""","=""3/2""","=""[""","=""5.08583194""","=""]""","=""0.00000025""","=""0.0000001""","=""                                                                                              ""","="""""
"=""2p6.16f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.08592034""","=""]""","=""0.00000025""","=""0.0000884""","=""                                                                                              ""","="""""
"=""2p6.16g""","=""2G""","=""7/2,9/2""","=""[""","=""5.08592816""","=""]""","=""0.00000025""","=""0.0000078""","=""                                                                                              ""","="""""
"=""2p6.17p""","=""2P*""","=""1/2""","=""[""","=""5.08687564""","=""]""","=""0.00000025""","=""0.0009475""","=""                                                                                              ""","="""""
"=""2p6.17p""","=""2P*""","=""3/2""","=""[""","=""5.08688097""","=""]""","=""0.00000025""","=""0.0000053""","=""                                                                                              ""","="""""
"=""2p6.18s""","=""2S""","=""1/2""","=""[""","=""5.09001021""","=""]""","=""0.00000025""","=""0.0031292""","=""                                                                                              ""","="""""
"=""2p6.17d""","=""2D""","=""5/2""","=""[""","=""5.09191684""","=""]""","=""0.00000025""","=""0.0019066""","=""                                                                                              ""","="""""
"=""2p6.17d""","=""2D""","=""3/2""","=""[""","=""5.09191696""","=""]""","=""0.00000025""","=""0.0000001""","=""                                                                                              ""","="""""
"=""2p6.17f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.09199061""","=""]""","=""0.00000025""","=""0.0000737""","=""                                                                                              ""","="""""
"=""2p6.17g""","=""2G""","=""7/2,9/2""","=""[""","=""5.09199718""","=""]""","=""0.00000025""","=""0.0000066""","=""                                                                                              ""","="""""
"=""2p6.18p""","=""2P*""","=""1/2""","=""[""","=""5.09278808""","=""]""","=""0.00000025""","=""0.0007909""","=""                                                                                              ""","="""""
"=""2p6.18p""","=""2P*""","=""3/2""","=""[""","=""5.09279242""","=""]""","=""0.00000025""","=""0.0000043""","=""                                                                                              ""","="""""
"=""2p6.19s""","=""2S""","=""1/2""","=""[""","=""5.09541220""","=""]""","=""0.00000025""","=""0.0026198""","=""                                                                                              ""","="""""
"=""2p6.18d""","=""2D""","=""3/2""","=""[""","=""5.09701544""","=""]""","=""0.00000025""","=""0.0016032""","=""                                                                                              ""","="""""
"=""2p6.18d""","=""2D""","=""5/2""","=""[""","=""5.09701544""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.18f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.09707756""","=""]""","=""0.00000025""","=""0.0000621""","=""                                                                                              ""","="""""
"=""2p6.18g""","=""2G""","=""7/2""","=""[""","=""5.09708301""","=""]""","=""0.00000025""","=""0.0000055""","=""                                                                                              ""","="""""
"=""2p6.18g""","=""2G""","=""9/2""","=""[""","=""5.09708314""","=""]""","=""0.00000025""","=""0.0000001""","=""                                                                                              ""","="""""
"=""2p6.19p""","=""2P*""","=""1/2""","=""[""","=""5.09774992""","=""]""","=""0.00000025""","=""0.0006668""","=""                                                                                              ""","="""""
"=""2p6.19p""","=""2P*""","=""3/2""","=""[""","=""5.09775364""","=""]""","=""0.00000025""","=""0.0000037""","=""                                                                                              ""","="""""
"=""2p6.20s""","=""2S""","=""1/2""","=""[""","=""5.09996887""","=""]""","=""0.00000025""","=""0.0022152""","=""                                                                                              ""","="""""
"=""2p6.19d""","=""2D""","=""5/2""","=""[""","=""5.10132972""","=""]""","=""0.00000025""","=""0.0013609""","=""                                                                                              ""","="""""
"=""2p6.19d""","=""2D""","=""3/2""","=""[""","=""5.10132984""","=""]""","=""0.00000025""","=""0.0000001""","=""                                                                                              ""","="""""
