Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.49p""","=""2P*""","=""3/2""","=""""","=""4.170815""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.48d""","=""2D""","=""3/2""","=""""","=""4.17092""","=""""","=""0.00004""","=""0.00010""","=""L9039"""
"=""4p6.48d""","=""2D""","=""5/2""","=""""","=""4.17092""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.50s""","=""2S""","=""1/2""","=""[""","=""4.17095""","=""]""","=""0.00004""","=""0.00003""","=""L9039"""
"=""4p6.50p""","=""2P*""","=""3/2""","=""""","=""4.171078""","=""""","=""0.000007""","=""0.00013""","=""L9039"""
"=""4p6.50p""","=""2P*""","=""1/2""","=""""","=""4.171078""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.49d""","=""2D""","=""3/2""","=""""","=""4.17114""","=""""","=""0.00004""","=""0.00006""","=""L9039"""
"=""4p6.49d""","=""2D""","=""5/2""","=""""","=""4.17114""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.51s""","=""2S""","=""1/2""","=""""","=""4.17121""","=""""","=""0.00004""","=""0.00007""","=""L9039"""
"=""4p6.51p""","=""2P*""","=""1/2""","=""""","=""4.171327""","=""""","=""0.000007""","=""0.00012""","=""L9039"""
"=""4p6.51p""","=""2P*""","=""3/2""","=""""","=""4.171327""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.50d""","=""2D""","=""3/2""","=""""","=""4.17141""","=""""","=""0.00004""","=""0.00008""","=""L9039"""
"=""4p6.50d""","=""2D""","=""5/2""","=""""","=""4.17141""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.52s""","=""2S""","=""1/2""","=""""","=""4.17145""","=""""","=""0.00004""","=""0.00004""","=""L9039"""
"=""4p6.52p""","=""2P*""","=""1/2""","=""""","=""4.171567""","=""""","=""0.000007""","=""0.00012""","=""L9039"""
"=""4p6.52p""","=""2P*""","=""3/2""","=""""","=""4.171567""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.51d""","=""2D""","=""3/2""","=""""","=""4.17163""","=""""","=""0.00004""","=""0.00006""","=""L9039"""
"=""4p6.51d""","=""2D""","=""5/2""","=""""","=""4.17163""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.53s""","=""2S""","=""1/2""","=""""","=""4.17167""","=""""","=""0.00004""","=""0.00004""","=""L9039"""
"=""4p6.53p""","=""2P*""","=""1/2""","=""""","=""4.171786""","=""""","=""0.000007""","=""0.00012""","=""L9039"""
"=""4p6.53p""","=""2P*""","=""3/2""","=""""","=""4.171786""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.52d""","=""2D""","=""3/2""","=""""","=""4.17186""","=""""","=""0.00004""","=""0.00007""","=""L9039"""
"=""4p6.52d""","=""2D""","=""5/2""","=""""","=""4.17186""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.54p""","=""2P*""","=""1/2""","=""""","=""4.171985""","=""""","=""0.000007""","=""0.00013""","=""L9039"""
"=""4p6.54p""","=""2P*""","=""3/2""","=""""","=""4.171985""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.53d""","=""2D""","=""3/2""","=""""","=""4.17203""","=""""","=""0.00004""","=""0.00005""","=""L9039"""
"=""4p6.53d""","=""2D""","=""5/2""","=""""","=""4.17203""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.55p""","=""2P*""","=""1/2""","=""""","=""4.172186""","=""""","=""0.000007""","=""0.00016""","=""L9039"""
"=""4p6.55p""","=""2P*""","=""3/2""","=""""","=""4.172186""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
