Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(2D1).4p""","=""s 3D*""","=""2""","=""""","=""7.517142""","=""""","=""0.000006""","=""""","=""  25             :    24  3d4.(1D1).4s.4p.(3P*) 3D*  ""","=""L18327c152,L7185"""
"=""3d5.(2D1).4p""","=""s 3D*""","=""1""","=""""","=""7.523121""","=""""","=""0.000006""","=""""","=""  29             :    22  3d4.(1D1).4s.4p.(3P*) 3D*  ""","=""L18327c152,L7185"""
"=""""","=""o 5F*""","=""1""","=""""","=""7.5231604""","=""""","=""0.0000014""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""o 5F*""","=""2""","=""""","=""7.53633""","=""""","=""0.00004""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""o 5F*""","=""3""","=""""","=""7.55086""","=""""","=""0.00011""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""o 5F*""","=""4""","=""""","=""7.569544""","=""""","=""0.000011""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""o 5F*""","=""5""","=""""","=""7.587082""","=""""","=""0.000012""","=""""","=""                                                     ""","=""L18327c152"""
"=""3d5.(2F2).4p""","=""p 3F*""","=""3""","=""""","=""7.540638""","=""""","=""0.000012""","=""""","=""  40             :    21  3d4.(1F).4s.4p.(3P*)  3F*  ""","=""L18327,L7185"""
"=""3d5.(2F2).4p""","=""p 3F*""","=""4""","=""""","=""7.5581203""","=""""","=""0.0000011""","=""""","=""  39             :    24  3d4.(1F).4s.4p.(3P*)  3F*  ""","=""L18327,L7185"""
"=""3d5.(2G1).4p""","=""s 3H*""","=""4""","=""""","=""7.5469877""","=""""","=""0.0000004""","=""""","=""  52             :    13  3d4.(3H).4s.4p.(1P*)  3H*  ""","=""L18327,L7185"""
"=""3d5.(2G1).4p""","=""s 3H*""","=""5""","=""""","=""7.5640055""","=""""","=""0.0000007""","=""""","=""  41             :    11  3d4.(3H).4s.4p.(1P*)  3H*  ""","=""L18327,L7185"""
