Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(4G).4p""","=""z 5G*""","=""2""","=""""","=""5.27122963""","=""""","=""0.00000022""","=""0.35""","=""  61             :    20  3d4.(3H).4s.4p.(3P*)  5G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 5G*""","=""3""","=""""","=""5.27413188""","=""""","=""0.00000021""","=""""","=""  57             :    19  3d4.(3H).4s.4p.(3P*)  5G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 5G*""","=""4""","=""""","=""5.27735992""","=""""","=""0.00000020""","=""""","=""  53             :    18  3d4.(3H).4s.4p.(3P*)  5G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 5G*""","=""5""","=""""","=""5.28038436""","=""""","=""0.00000020""","=""1.23""","=""  47             :    16  3d4.(3H).4s.4p.(3P*)  5G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 5G*""","=""6""","=""""","=""5.28243456""","=""""","=""0.00000025""","=""1.32""","=""  37             :    27  3d4.(3H).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""z 5S*""","=""2""","=""""","=""5.3467945""","=""""","=""0.0000009""","=""1.93""","=""  46             :    46  3d4.(3P1).4s.4p.(3P*) 5S*  ""","=""L18327,L7185"""
"=""3d5.(6S).4d""","=""e 5D""","=""4""","=""""","=""5.46162527""","=""""","=""0.00000015""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 5D""","=""3""","=""""","=""5.46384067""","=""""","=""0.00000015""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 5D""","=""2""","=""""","=""5.46534712""","=""""","=""0.00000016""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 5D""","=""1""","=""""","=""5.46633655""","=""""","=""0.00000024""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 5D""","=""0""","=""""","=""5.46682328""","=""""","=""0.00000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5p""","=""w 5P*""","=""1""","=""""","=""5.47089133""","=""""","=""0.00000017""","=""2.74""","=""                                                     ""","=""L18327,L7185"""
"=""3d5.(6S).5p""","=""w 5P*""","=""2""","=""""","=""5.47846032""","=""""","=""0.00000017""","=""1.79""","=""                                                     ""","=""L18327,L7185"""
"=""3d5.(6S).5p""","=""w 5P*""","=""3""","=""""","=""5.4874392""","=""""","=""0.0000003""","=""1.68""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""","=""""","=""5.4858739""","=""""","=""0.0000005""","=""""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""5""","=""""","=""5.493488""","=""""","=""0.000014""","=""""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""6""","=""""","=""5.504033""","=""""","=""0.000024""","=""""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""7""","=""""","=""5.519076""","=""""","=""0.000007""","=""""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""8""","=""""","=""5.5379442""","=""""","=""0.0000022""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""2""","=""""","=""5.49248971""","=""""","=""0.00000025""","=""0.35""","=""  85                                                 ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""""","=""5.50158714""","=""""","=""0.00000025""","=""0.93""","=""  80                                                 ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""4""","=""""","=""5.5215655""","=""""","=""0.0000004""","=""""","=""  68             :    18  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""5""","=""""","=""5.52862611""","=""""","=""0.00000024""","=""1.25""","=""  46             :    29  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""6""","=""""","=""5.5478291""","=""""","=""0.0000003""","=""1.34""","=""  85             :     5  3d4.(3G).4s.4p.(3P*)  5G*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""1""","=""""","=""5.5379638""","=""""","=""0.0000004""","=""2.47""","=""  78             :     8  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""","=""""","=""5.56380704""","=""""","=""0.00000024""","=""""","=""  76             :     9  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""3""","=""""","=""5.59330998""","=""""","=""0.00000022""","=""1.65""","=""  70             :    13  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""1""","=""""","=""5.60429253""","=""""","=""0.00000024""","=""""","=""  66             :    28  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""2""","=""""","=""5.60719388""","=""""","=""0.00000021""","=""""","=""  63             :    27  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""3""","=""""","=""5.61095253""","=""""","=""0.00000021""","=""""","=""  58             :    26  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""4""","=""""","=""5.61474406""","=""""","=""0.00000019""","=""""","=""  50             :    23  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""5""","=""""","=""5.61727046""","=""""","=""0.00000020""","=""1.41""","=""  37  5G*        :    34                        5F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 3H*""","=""6""","=""""","=""5.62251964""","=""""","=""0.00000020""","=""""","=""  68             :    16  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 3H*""","=""5""","=""""","=""5.62319793""","=""""","=""0.00000020""","=""""","=""  49             :    32  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""z 3H*""","=""4""","=""""","=""5.62374764""","=""""","=""0.00000020""","=""""","=""  59             :    25  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 5H*""","=""3""","=""""","=""5.64946442""","=""""","=""0.00000025""","=""0.52""","=""  76             :    22  3d4.(3H).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 5H*""","=""4""","=""""","=""5.65551992""","=""""","=""0.00000021""","=""""","=""  51             :    28  3d5.(4G).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 5H*""","=""5""","=""""","=""5.66152243""","=""""","=""0.00000022""","=""""","=""  43             :    38  3d5.(4G).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 5H*""","=""6""","=""""","=""5.66698616""","=""""","=""0.00000022""","=""""","=""  58             :    20  3d5.(4G).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 5H*""","=""7""","=""""","=""5.67121951""","=""""","=""0.00000025""","=""1.29""","=""  74             :    25  3d4.(3H).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d5.(6S).6s""","=""f 7S""","=""3""","=""""","=""5.6590394""","=""""","=""0.0000021""","=""2.05""","=""                                                     ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""y 3P*""","=""1""","=""""","=""5.66846045""","=""""","=""0.00000022""","=""""","=""  45             :    24  3d4.(3P1).4s.4p.(3P*) 3P*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""y 3P*""","=""0""","=""""","=""5.6688702""","=""""","=""0.0000009""","=""""","=""  39             :    31  3d4.(3P1).4s.4p.(3P*) 3P*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""y 3P*""","=""2""","=""""","=""5.67032643""","=""""","=""0.00000019""","=""""","=""  49             :    20  3d4.(3P1).4s.4p.(3P*) 3P*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3F*""","=""2""","=""""","=""5.6991023""","=""""","=""0.0000003""","=""""","=""  75             :     8  3d4.(3F1).4s.4p.(3P*) 3F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3F*""","=""3""","=""""","=""5.70332536""","=""""","=""0.00000025""","=""""","=""  80             :     8  3d4.(3F1).4s.4p.(3P*) 3F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3F*""","=""4""","=""""","=""5.71048876""","=""""","=""0.00000021""","=""""","=""  83             :     7  3d4.(3F1).4s.4p.(3P*) 3F*  ""","=""L18327,L7185"""
"=""3d5.(6S).6s""","=""f 5S""","=""2""","=""""","=""5.69928154""","=""""","=""0.00000021""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4P).4p""","=""y 3D*""","=""1""","=""""","=""5.71282481""","=""""","=""0.00000021""","=""""","=""  22             :    19  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""y 3D*""","=""2""","=""""","=""5.71681492""","=""""","=""0.00000017""","=""1.24""","=""  23             :    14  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""y 3D*""","=""3""","=""""","=""5.72489453""","=""""","=""0.00000017""","=""1.33""","=""  37             :    15  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""0""","=""""","=""5.71334746""","=""""","=""0.00000025""","=""""","=""  40             :    25  3d4.(3P1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""1""","=""""","=""5.74025070""","=""""","=""0.00000020""","=""""","=""  42             :    20  3d4.(3P1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""","=""""","=""5.74659540""","=""""","=""0.00000019""","=""""","=""  40             :    22  3d4.(3P1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""""","=""5.74893273""","=""""","=""0.00000017""","=""""","=""  36             :    27  3d4.(3P1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""""","=""5.75564682""","=""""","=""0.00000022""","=""""","=""  39             :    34  3d4.(3P1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 7D""","=""1""","=""""","=""5.75889602""","=""""","=""0.00000022""","=""2.99""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 7D""","=""2""","=""""","=""5.76835475""","=""""","=""0.00000019""","=""1.99""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 7D""","=""3""","=""""","=""5.78227967""","=""""","=""0.00000017""","=""1.77""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 7D""","=""4""","=""""","=""5.80035930""","=""""","=""0.00000017""","=""1.63""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 7D""","=""5""","=""""","=""5.82217714""","=""""","=""0.00000021""","=""1.61""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""2""","=""""","=""5.78723069""","=""""","=""0.00000022""","=""""","=""  20             :    18  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""1""","=""""","=""5.7873809""","=""""","=""0.0000005""","=""""","=""  21             :    18  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""3""","=""""","=""5.78860234""","=""""","=""0.00000017""","=""1.25""","=""  23             :    22  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""5""","=""""","=""5.79067042""","=""""","=""0.00000019""","=""1.37""","=""  33             :    30  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""4""","=""""","=""5.79260016""","=""""","=""0.00000019""","=""""","=""  23             :    24  3d5.(4D).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""""","=""5.80825650""","=""""","=""0.00000020""","=""""","=""  42             :    20  3d4.(3F1).4s.4p.(3P*) 3G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""""","=""5.81548356""","=""""","=""0.00000019""","=""""","=""  40             :    21  3d4.(3F1).4s.4p.(3P*) 3G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""","=""""","=""5.82550252""","=""""","=""0.00000020""","=""""","=""  34             :    20  3d5.(4G).4p           3G*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""u 5P*""","=""3""","=""""","=""5.8122004""","=""""","=""0.0000003""","=""1.68""","=""  47             :    20  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""u 5P*""","=""2""","=""""","=""5.82325049""","=""""","=""0.00000016""","=""1.84""","=""  51             :    20  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""u 5P*""","=""1""","=""""","=""5.82994917""","=""""","=""0.00000020""","=""2.42""","=""  55             :    20  3d5.(4D).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""2""","=""""","=""5.83314465""","=""""","=""0.00000025""","=""0.45""","=""  67             :    15  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""3""","=""""","=""5.84283485""","=""""","=""0.00000022""","=""0.96""","=""  62             :    14  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""4""","=""""","=""5.8508033""","=""""","=""0.0000003""","=""""","=""  60             :    15  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""6""","=""""","=""5.85480762""","=""""","=""0.00000025""","=""1.44""","=""  70             :    19  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""5""","=""""","=""5.85561994""","=""""","=""0.00000022""","=""1.27""","=""  63             :    16  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3G*""","=""3""","=""""","=""5.83326016""","=""""","=""0.00000025""","=""""","=""  73             :    12  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3G*""","=""4""","=""""","=""5.83406495""","=""""","=""0.00000017""","=""""","=""  69             :    16  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""y 3G*""","=""5""","=""""","=""5.83411881""","=""""","=""0.00000019""","=""""","=""  62             :    24  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""z 3S*""","=""1""","=""""","=""5.8382162""","=""""","=""0.0000005""","=""""","=""  72             :     8  3d5.(4P).4p           3S*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""","=""""","=""5.89991601""","=""""","=""0.00000025""","=""""","=""  61             :    28  3d4.(3G).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""6""","=""""","=""5.90541387""","=""""","=""0.00000025""","=""""","=""  57             :    34  3d4.(3G).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""","=""""","=""5.91312747""","=""""","=""0.00000025""","=""""","=""  52             :    40  3d4.(3G).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""3""","=""""","=""5.9042965""","=""""","=""0.0000005""","=""""","=""  79             :    12  3d4.(3H).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""4""","=""""","=""5.9126191""","=""""","=""0.0000004""","=""""","=""  82             :    11  3d4.(3H).4s.4p.(3P*)  5H*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""5""","=""""","=""5.9256654""","=""""","=""0.0000004""","=""""","=""  56             :    30  3d4.(3H).4s.4p.(3P*)  3I*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""6""","=""""","=""5.94407511""","=""""","=""0.00000025""","=""""","=""  53             :    35  3d4.(3H).4s.4p.(3P*)  3I*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""7""","=""""","=""5.96861183""","=""""","=""0.00000025""","=""""","=""  49             :    42  3d4.(3H).4s.4p.(3P*)  3I*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""1""","=""""","=""5.9053267""","=""""","=""0.0000003""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""2""","=""""","=""5.90557531""","=""""","=""0.00000020""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""3""","=""""","=""5.90617125""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""4""","=""""","=""5.90661499""","=""""","=""0.00000017""","=""1.34""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""5""","=""""","=""5.90722005""","=""""","=""0.00000021""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).6p""","=""w 7P*""","=""2""","=""""","=""5.91387""","=""""","=""0.00025""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).6p""","=""w 7P*""","=""3""","=""""","=""5.915082""","=""""","=""0.000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).6p""","=""w 7P*""","=""4""","=""""","=""5.916424""","=""""","=""0.000021""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5d""","=""g 7D""","=""1""","=""""","=""5.91406""","=""""","=""0.00005""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5d""","=""g 7D""","=""2""","=""""","=""5.9141585""","=""""","=""0.0000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5d""","=""g 7D""","=""3""","=""""","=""5.9143426""","=""""","=""0.0000006""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5d""","=""g 7D""","=""4""","=""""","=""5.91462""","=""""","=""0.00004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5d""","=""g 7D""","=""5""","=""""","=""5.9152673""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4P).4p""","=""v 5D*""","=""1""","=""""","=""5.92300663""","=""""","=""0.00000022""","=""1.37""","=""  49             :    26  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""v 5D*""","=""2""","=""""","=""5.92472080""","=""""","=""0.00000020""","=""1.39""","=""  49             :    26  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""v 5D*""","=""0""","=""""","=""5.9249560""","=""""","=""0.0000004""","=""""","=""  46             :    27  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""v 5D*""","=""3""","=""""","=""5.92822786""","=""""","=""0.00000019""","=""1.53""","=""  49             :    25  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d5.(4P).4p""","=""v 5D*""","=""4""","=""""","=""5.93468472""","=""""","=""0.00000020""","=""1.50""","=""  52             :    23  3d4.(3F1).4s.4p.(3P*) 5D*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""u 5F*""","=""1""","=""""","=""5.9360654""","=""""","=""0.0000003""","=""0.00""","=""  15             :    15  3d4.(3P1).4s.4p.(3P*) 3P*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""u 5F*""","=""2""","=""""","=""5.94106486""","=""""","=""0.00000021""","=""1.04""","=""  35             :    19  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""u 5F*""","=""3""","=""""","=""5.94808628""","=""""","=""0.00000020""","=""1.36""","=""  35             :    20  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""u 5F*""","=""5""","=""""","=""5.9494793""","=""""","=""0.0000007""","=""1.38""","=""  39             :    25  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""3d5.(4G).4p""","=""u 5F*""","=""4""","=""""","=""5.95302356""","=""""","=""0.00000020""","=""""","=""  39             :    23  3d4.(3F1).4s.4p.(3P*) 5F*  ""","=""L18327,L7185"""
"=""""","=""*""","=""4""","=""""","=""5.95653797""","=""""","=""0.00000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""3D*""","=""1""","=""""","=""5.9772804""","=""""","=""0.0000005""","=""""","=""  59             :     7  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""3D*""","=""2""","=""""","=""5.9782505""","=""""","=""0.0000004""","=""""","=""  61             :     6  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""5.9824772""","=""""","=""0.0000005""","=""""","=""  64             :     5  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""0""","=""""","=""5.9792832""","=""""","=""0.0000020""","=""""","=""  29             :    24  3d5.(4P).4p           3P*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""1""","=""""","=""5.9923103""","=""""","=""0.0000005""","=""""","=""  28             :    15  3d5.(4P).4p           3P*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""2""","=""""","=""6.0080980""","=""""","=""0.0000003""","=""""","=""  42             :    19  3d5.(4P).4p           3P*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""y 3H*""","=""4""","=""""","=""5.98699306""","=""""","=""0.00000025""","=""""","=""  76                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""y 3H*""","=""5""","=""""","=""5.98972002""","=""""","=""0.00000021""","=""""","=""  89                                                 ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""y 3H*""","=""6""","=""""","=""6.00645098""","=""""","=""0.00000022""","=""""","=""  83                                                 ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 5D""","=""0""","=""""","=""6.0117580""","=""""","=""0.0000011""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""f 5D""","=""1""","=""""","=""6.0141521""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""f 5D""","=""2""","=""""","=""6.02047467""","=""""","=""0.00000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""f 5D""","=""3""","=""""","=""6.03325810""","=""""","=""0.00000021""","=""1.46""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s.5s""","=""f 5D""","=""4""","=""""","=""6.05346444""","=""""","=""0.00000020""","=""1.46""","=""                                                     ""","=""L18327,L7185"""
"=""""","=""x 3G*""","=""3""","=""""","=""6.015092""","=""""","=""0.000004""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""x 3G*""","=""4""","=""""","=""6.0209429""","=""""","=""0.0000003""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""x 3G*""","=""5""","=""""","=""6.04871307""","=""""","=""0.00000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""3F*""","=""3""","=""""","=""6.03010050""","=""""","=""0.00000024""","=""""","=""  60             :    15  3d4.(3G).4s.4p.(3P*)  3F*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""1""","=""""","=""6.0553607""","=""""","=""0.0000004""","=""""","=""  38             :    20  3d5.(4P).4p           3D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""","=""""","=""6.07862231""","=""""","=""0.00000025""","=""""","=""  46             :    14  3d5.(4P).4p           3D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""3""","=""""","=""6.11376373""","=""""","=""0.00000025""","=""""","=""  61             :     7  3d5.(4P).4p           3D*  ""","=""L18327,L7185"""
"=""3d5.(6S).7s""","=""g 7S""","=""3""","=""""","=""6.097279""","=""""","=""0.000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).7s""","=""g 5S""","=""2""","=""""","=""6.1150957""","=""""","=""0.0000012""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 3G*""","=""3""","=""""","=""6.1211766""","=""""","=""0.0000014""","=""""","=""  40             :     9  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 3G*""","=""4""","=""""","=""6.1314981""","=""""","=""0.0000003""","=""""","=""  40             :    13  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 3G*""","=""5""","=""""","=""6.1419268""","=""""","=""0.0000003""","=""""","=""  51             :    17  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5G*""","=""2""","=""""","=""6.1330898""","=""""","=""0.0000004""","=""""","=""  65             :    18  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
