 	 	 	 	 	 
25s 	 2S 	 1/2 	  4.038483               	  0.000004    	 L11797 
 	 	 	 	 	 
25p 	 2P° 	 1/2 	  4.040050               	  0.000006    	 L11797 
 	 	 3/2 	  4.040362               	  0.000006    	 L11797 
 	 	 	 	 	 
24d 	 2D 	 3/2 	  4.040605               	  0.000004    	 L11797 
 	 	 5/2 	  4.040670               	  0.000004    	 L11797 
 	 	 	 	 	 
26s 	 2S 	 1/2 	  4.041679               	  0.000004    	 L11797 
 	 	 	 	 	 
26p 	 2P° 	 1/2 	  4.043034               	  0.000006    	 L11797 
 	 	 3/2 	  4.043304               	  0.000006    	 L11797 
 	 	 	 	 	 
25d 	 2D 	 3/2 	  4.043515               	  0.000004    	 L11797 
 	 	 5/2 	  4.043571               	  0.000004    	 L11797 
 	 	 	 	 	 
27s 	 2S 	 1/2 	  4.044448               	  0.000004    	 L11797 
 	 	 	 	 	 
27p 	 2P° 	 1/2 	  4.045628               	  0.000006    	 L11797 
 	 	 3/2 	  4.045864               	  0.000006    	 L11797 
 	 	 	 	 	 
26d 	 2D 	 3/2 	  4.046047               	  0.000004    	 L11797 
 	 	 5/2 	  4.046097               	  0.000004    	 L11797 
 	 	 	 	 	 
28s 	 2S 	 1/2 	  4.046862               	  0.000004    	 L11797 
 	 	 	 	 	 
28p 	 2P° 	 1/2 	  4.047896               	  0.000006    	 L11797 
 	 	 3/2 	  4.048103               	  0.000006    	 L11797 
 	 	 	 	 	 
27d 	 2D 	 3/2 	  4.048263               	  0.000004    	 L11797 
 	 	 5/2 	  4.048306               	  0.000004    	 L11797 
 	 	 	 	 	 
29s 	 2S 	 1/2 	  4.048979               	  0.000004    	 L11797 
 	 	 	 	 	 
29p 	 2P° 	 1/2 	  4.049891               	  0.000006    	 L11797 
 	 	 3/2 	  4.050073               	  0.000006    	 L11797 
 	 	 	 	 	 
28d 	 2D 	 3/2 	  4.050214               	  0.000004    	 L11797 
 	 	 5/2 	  4.050253               	  0.000004    	 L11797 
 	 	 	 	 	 
30s 	 2S 	 1/2 	  4.050848               	  0.000004    	 L11797 
 	 	 	 	 	 
30p 	 2P° 	 1/2 	  4.051655               	  0.000006    	 L11797 
 	 	 3/2 	  4.051816               	  0.000006    	 L11797 
 	 	 	 	 	 
29d 	 2D 	 3/2 	  4.051941               	  0.000004    	 L11797 
 	 	 5/2 	  4.051976               	  0.000004    	 L11797 
 	 	 	 	 	 
30d 	 2D 	 3/2 	  4.053477               	  0.000004    	 L11797 
 	 	 5/2 	  4.053508               	  0.000004    	 L11797 
 	 	 	 	 	 
Fr II (6p6 1S0) 	 Limit 	 --- 	  4.0727411              	  0.0000011   	 L10714
