 	 	 	 	 	 
5p624s 	 2S 	 1/2 	  3.859721069                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p620f 	 2F° 	 7/2 	  3.859778881                     	  0.000000020     	 L7057,L6284 
 	 	 5/2 	  3.859779373                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p620g 	 2G 	 7/2 	  3.859868093                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p624p 	 2P° 	 1/2 	  [3.861236594]                    	  0.000000025     	 L7057 
 	 	 3/2 	  3.861344                        	  0.000004        	 L4891 
 	 	 	 	 	 
5p623d 	 2D 	 3/2 	  3.86160800                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.861636650                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p625s 	 2S 	 1/2 	  3.862906784                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p621f 	 2F° 	 7/2 	  [3.862956416]                    	  0.000000025     	 L7057,L6284 
 	 	 5/2 	  [3.862956850]                    	  0.000000025     	 L7057 
 	 	 	 	 	 
5p621g 	 2G 	 7/2 	  [3.863033441]                    	  0.000000019     	 L7057 
 	 	 	 	 	 
5p625p 	 2P° 	 1/2 	  3.864217654                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.864307580                     	  0.000000019     	 L7057,L6284 
 	 	 	 	 	 
5p624d 	 2D 	 3/2 	  3.86453966                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.864564140                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p622f 	 2F° 	 7/2 	  3.865710008                     	  0.000000021     	 L7057,L6284 
 	 	 5/2 	  3.865710380                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p622g 	 2G 	 7/2 	  3.865777177                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p625d 	 2D 	 3/2 	  3.86708893                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.867110622                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p623f 	 2F° 	 7/2 	  [3.868111803]                    	  0.000000025     	 L7057,L6284 
 	 	 5/2 	  [3.868112125]                    	  0.000000025     	 L7057 
 	 	 	 	 	 
5p623g 	 2G 	 7/2 	  [3.868170529]                    	  0.000000019     	 L7057 
 	 	 	 	 	 
5p624f 	 2F° 	 7/2 	  3.870219302                     	  0.000000021     	 L7057,L6284 
 	 	 5/2 	  3.870219596                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p624g 	 2G 	 7/2 	  3.870271119                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p625f 	 2F° 	 7/2 	  [3.872078690]                    	  0.000000025     	 L7057,L6284 
 	 	 5/2 	  [3.872078950]                    	  0.000000025     	 L7057 
 	 	 	 	 	 
5p625g 	 2G 	 7/2 	  [3.872124481]                    	  0.000000019     	 L7057 
 	 	 	 	 	 
Cs II (5s25p6 1S0) 	 Limit 	 --- 	  3.89390572743                   	  0.00000000017   	 L19479
