Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3p5.3d.(3D*).4s""","=""4D*""","=""1/2""","=""""","=""21.4245""","=""""","=""0.0005""","=""0.0220""","=""""","=""L3602"""
"=""3p5.3d.(1D*).4s""","=""2D*""","=""3/2""","=""""","=""21.4738""","=""""","=""0.0005""","=""0.0493""","=""""","=""L4582"""
"=""3p5.3d.(1D*).4s""","=""2D*""","=""5/2""","=""""","=""21.495""","=""""","=""0.008""","=""0.021""","=""""","=""L4582"""
"=""3p5.3d.(1F*).4s""","=""2F*""","=""7/2""","=""""","=""21.613""","=""""","=""0.008""","=""0.12""","=""""","=""L4582"""
"=""3p5.3d.(1F*).4s""","=""2F*""","=""5/2""","=""""","=""21.645""","=""""","=""0.008""","=""0.03""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(1P*)""","=""2D""","=""5/2""","=""""","=""21.798""","=""""","=""0.008""","=""0.15""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(1P*)""","=""2D""","=""3/2""","=""""","=""22.041""","=""""","=""0.008""","=""0.24""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(1P*)""","=""2S""","=""1/2""","=""""","=""21.856""","=""""","=""0.008""","=""-0.18""","=""""","=""L4582"""
"=""3p5.3d.(3D*).4s""","=""2D*""","=""5/2""","=""""","=""22.261""","=""""","=""0.008""","=""0.40""","=""""","=""L4582"""
"=""3p5.3d.(3D*).4s""","=""2D*""","=""3/2""","=""""","=""22.30315""","=""""","=""0.00025""","=""0.042""","=""""","=""L6851"""
"=""3p5.(2P*).4s.4p.(1P*)""","=""2P""","=""3/2""","=""""","=""22.356""","=""""","=""0.008""","=""0.053""","=""""","=""L4582"""
"=""3p5.4s.(1P*).5s""","=""2P*""","=""3/2""","=""""","=""22.85612""","=""""","=""0.00025""","=""0.500""","=""""","=""L6851"""
"=""3p5.4s.(1P*).5s""","=""2P*""","=""1/2""","=""""","=""22.95605""","=""""","=""0.00025""","=""0.0999""","=""""","=""L6851"""
"=""3p5.4s.(1P*).6s""","=""2P*""","=""1/2,3/2""","=""""","=""23.9379""","=""""","=""0.0004""","=""0.9818""","=""""","=""L6851"""
"=""3p5.4s.(1P*).5d""","=""2D*""","=""3/2""","=""""","=""24.0227""","=""""","=""0.0004""","=""0.0848""","=""""","=""L6851"""
"=""3p5.4s.(1P*).5d""","=""2P*""","=""1/2""","=""""","=""24.0462""","=""""","=""0.0004""","=""0.0235""","=""""","=""L6851"""
"=""3p5.4s.(1P*).5d""","=""2P*""","=""3/2""","=""""","=""24.0622""","=""""","=""0.0004""","=""0.0160""","=""""","=""L6851"""
"=""3p5.4s.(1P*).7s""","=""2P*""","=""1/2,3/2""","=""""","=""24.3403""","=""""","=""0.0004""","=""0.2781""","=""""","=""L6851"""
"=""3p5.4s.(1P*).6d""","=""2P*""","=""3/2""","=""""","=""24.3457""","=""""","=""0.0004""","=""0.0054""","=""""","=""L6851"""
"=""3p5.4s.(1P*).6d""","=""2P*""","=""1/2""","=""""","=""24.3910""","=""""","=""0.0004""","=""0.0453""","=""""","=""L6851"""
"=""3p5.4s.(1P*).6d""","=""2D*""","=""3/2""","=""""","=""24.4039""","=""""","=""0.0004""","=""0.0129""","=""""","=""L6851"""
"=""3p5.4s.(1P*).8s""","=""2P*""","=""1/2""","=""""","=""24.5350""","=""""","=""0.0004""","=""0.1311""","=""""","=""L6851"""
"=""3p5.4s.(1P*).8s""","=""2P*""","=""3/2""","=""""","=""24.5429""","=""""","=""0.0004""","=""0.0079""","=""""","=""L6851"""
"=""3p5.4s.(1P*).7d""","=""2P*""","=""1/2,3/2""","=""""","=""24.5552""","=""""","=""0.0004""","=""0.0123""","=""""","=""L6851"""
"=""3p5.4s.(1P*).8d""","=""2P*?""","=""1/2,3/2""","=""""","=""24.660""","=""""","=""0.019""","=""0.10""","=""""","=""L6851"""
"=""3p5.4s.(1P*).9s""","=""2P*?""","=""1/2,3/2""","=""""","=""24.660""","=""""","=""0.019""","=""0.00""","=""""","=""L6851"""
"=""3p5.4s.(1P*).10s""","=""2P*""","=""1/2,3/2""","=""""","=""24.7432""","=""""","=""0.0004""","=""0.08""","=""""","=""L6851"""
"=""3p5.4s.(1P*).11s""","=""2P*""","=""1/2,3/2""","=""""","=""24.794""","=""""","=""0.006""","=""0.051""","=""""","=""L6851"""
"=""3p5.4s.(1P*).10d""","=""2P*""","=""1/2,3/2""","=""""","=""24.794""","=""""","=""0.006""","=""0.000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).12s""","=""2P*""","=""1/2,3/2""","=""""","=""24.830""","=""""","=""0.006""","=""0.036""","=""""","=""L6851"""
"=""3p5.4s.(1P*).11d""","=""2P*""","=""1/2,3/2""","=""""","=""24.830""","=""""","=""0.006""","=""0.000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).13s""","=""2P*""","=""1/2,3/2""","=""""","=""24.858""","=""""","=""0.006""","=""0.028""","=""""","=""L6851"""
"=""3p5.4s.(1P*).12d""","=""2P*""","=""1/2,3/2""","=""""","=""24.858""","=""""","=""0.006""","=""0.000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).14s""","=""2P*""","=""1/2,3/2""","=""""","=""24.879""","=""""","=""0.006""","=""0.021""","=""""","=""L6851"""
"=""3p5.4s.(1P*).13d""","=""2P*""","=""1/2,3/2""","=""""","=""24.879""","=""""","=""0.006""","=""0.000""","=""""","=""L6851"""
